,M5S,LN,PD,FI
M5S,0.2924083377479487,0.0,0.0,0.0
LN,0.2823533392470873,0.2681694236354587,0.0,0.0
PD,0.2977603865970677,0.28315198207078385,0.29376619908294044,0.0
FI,0.2942950297691944,0.27937264413944884,0.2894050300729102,0.2790065782754185
